timestamp,trade_id,market,symbol,timeframe,side,action,result,exit_reason,bars_held,entry_price,trigger_price,pnl,pnl_pct,fee,balance,ghost
2025-10-03T16:00:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T16:00:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,5,122680.68475,123662.130228,0.0,-0.008,0.0,,True
2025-10-03T16:05:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T16:05:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,4,122748.06453,123730.04904624,0.0,-0.008,0.0,,True
2025-10-03T16:10:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T16:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,20,123063.07,121586.31316,0.0,0.012,0.0,,True
2025-10-03T16:15:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T16:15:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,22,122994.0907,121518.1616116,0.0,0.012,0.0,,True
2025-10-03T16:20:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T16:20:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,8,123366.87883,121886.47628404,0.0,0.012,0.0,,True
2025-10-03T16:25:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T16:25:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,7,123593.51082000001,122110.38869016,0.0,0.012,0.0,,True
2025-10-03T16:30:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T16:30:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,6,123686.58289,122202.34389532001,0.0,0.012,0.0,,True
2025-10-03T16:35:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T16:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,5,123707.07674,122222.59181912,0.0,0.012,0.0,,True
2025-10-03T16:40:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T16:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,4,123727.37065,122242.64220219999,0.0,0.012,0.0,,True
2025-10-03T16:45:00+00:00,BTCUSDT@5m-LONG-2025-10-03T16:45:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,3,123196.84796999999,122211.27318623998,0.0,-0.008,0.0,,True
2025-10-03T16:50:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T16:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,2,122876.95203,121893.93641376,0.0,-0.008,0.0,,True
2025-10-03T16:55:00+00:00,BTCUSDT@5m-LONG-2025-10-03T16:55:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,LOSS,SL,11,122563.85813000001,121583.34726496,0.0,-0.008,0.0,,True
2025-10-03T17:00:00+00:00,BTCUSDT@5m-LONG-2025-10-03T17:00:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,402,122121.12535,123586.57885420001,0.0,0.012,0.0,,True
2025-10-03T17:10:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T17:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,WIN,TP,11,122915.91416,121440.92319008,0.0,0.012,0.0,,True
2025-10-03T17:25:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T17:25:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,397,122444.25570000001,123423.80974560001,0.0,-0.008,0.0,,True
2025-10-03T17:30:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T17:30:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,396,122602.2083,123583.0259664,0.0,-0.008,0.0,,True
2025-10-03T17:35:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T17:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,395,122858.73132,123841.60117056001,0.0,-0.008,0.0,,True
2025-10-03T17:45:00+00:00,BTCUSDT@5m-LONG-2025-10-03T17:45:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,393,122189.6459,123655.92165080001,0.0,0.012,0.0,,True
2025-10-03T17:50:00+00:00,BTCUSDT@5m-LONG-2025-10-03T17:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,392,121595.26764,123054.41085168,0.0,0.012,0.0,,True
2025-10-03T18:00:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T18:00:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,7,121721.97245,122695.74822960001,0.0,-0.008,0.0,,True
2025-10-03T18:10:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T18:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,388,121957.4018,122933.06101440001,0.0,-0.008,0.0,,True
2025-10-03T18:15:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T18:15:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,387,122227.72068,123205.54244544,0.0,-0.008,0.0,,True
